Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,763,160,229","4,395,269,871","4,714,680,195","4,798,980,236","4,872,200,012",,"4,356,989,861","4,623,219,967",,"4,702,549,934","4,827,300,072","5,797,399,998","675,109,005","5,914,669,991","6,347,290,039","6,442,959,785","4,857,049,465","5,888,269,901","5,491,360,188","4,456,180,573","4,548,758,984","4,435,043,335",,,,
Africa Eastern and Southern,AFE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,"4,090,219,975",,,,,,,,,,,,,,"3,887,419,939","3,606,129,885","4,341,670,036",,,"374,496,007","3,858,340,025","3,735,929,966",,"428,008,008",,"4,024,030,089","4,639,014,482","4,931,210,041","4,783,307,076","47,926,507","4,758,470,058","4,665,563,107","487,887,001","4,979,930,878","4,944,317,341","435,243,988","4,771,326,065","4,628,623,962",
Afghanistan,AFG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,684,760,571","4,174,895,287","4,383,672,237","4,810,639,858","3,479,449,987","3,462,009,907","2,604,199,886","3,454,459,906","3,695,219,994","3,255,800,009","4,543,970,108","4,343,190,193",,,,,,
Africa Western and Central,AFW,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,345,824,957","2,463,350,058","242,614,007","243,543,005","2,365,010,023","242,751,503","2,656,599,998","2,558,520,079",,"2,498,270,035","2,907,900,095","2,784,990,072","2,678,254,604","2,810,414,553","2,850,709,915","2,666,670,084","2,984,197,974","2,667,730,808","3,360,853,672","3,023,458,004","3,047,399,521","3,398,740,768","3,203,484,297","2,905,294,418",
Angola,AGO,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,"4,090,219,975","5,722,690,105","5,058,509,827",,,,,,,,,,,"2,567,120,075",,"2,607,530,117",,,,,"2,120,110,035","2,281,460,047",,,"2,920,000,076","3,421,319,962","324,000,001","3,081,910,849","3,869,999,886","2,930,000,067","3,099,999,905","2,754,936,695","2,466,878,891","2,183,512,926","2,073,064,327","2,667,447,329","2,297,108,889","2,332,125,902",
Albania,ALB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"344,698","3,814,640,045","3,083,509,922","337,947,011","3,536,979,914","3,592,930,079","3,430,170,059","3,458,699,942","3,117,799,997","3,138,230,085","3,227,519,989","3,281,549,931","3,191,459,894","3,275,929,928","3,509,226,084",,"341,307,497","3,240,008,354","330,906,105","3,539,299,965","3,216,967,106","3,437,969,923","3,962,090,015","3,611,720,085","3,152,944,803","3,916,239,977","3,342,299,938","3,022,559,881","2,744,329,929",
Andorra,AND,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,713,279,963",,,,,"165,971,005",,"1,544,119,954","1,644,970,059","2,244,899,988","2,104,690,075","2,873,929,977","3,142,920,017","2,976,629,972","298,706,007","2,565,778,971","2,506,160,021","3,074,209,929","328,034,997","3,237,070,084","3,217,089,891","3,246,720,076","315,060,997","2,632,130,384","2,583,972,216","2,647,289,991","192,790,997"
Arab World,ARB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,032,866,716",,"5,021,100,044",,"3,930,559,993",,"422,755,003",,,,"4,124,774,933",,,,,,,"3,860,209,942",,,,
United Arab Emirates,ARE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,860,209,942","3,984,179,974","3,894,030,094",,
Argentina,ARG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,"1,458,089,948",,"1,936,200,023","1,780,519,962","1,923,519,969","1,843,600,035","1,165,639,997","171,984,005","1,935,549,974","2,400,279,999","2,607,150,078",,"1,597,869,992","1,617,499,948","256,972,003","1,361,860,037","126,154,995","1,282,299,995",,"1,046,120,048","1,067,379,951",,,,,,"3,731,980,085",,"4,039,869,785","4,521,679,878","4,580,309,868","4,833,740,234","4,017,340,183","3,535,049,915","3,486,520,052","3,860,009,909","4,128,210,068","4,462,600,231","4,844,409,943","5,531,050,205","5,019,710,064","5,290,629,864","5,345,829,964","5,436,610,222","5,361,440,182","5,776,110,172","5,545,489,788","5,454,319,954","4,877,739,906","4,771,649,837","5,276,899,815","4,641,170,025","4,805,210,114",
